,codcliente,numero_persone_diverse
1452,5655,21
1453,5664,16
1454,5666,0
1455,5671,35
1456,5676,7
1457,5677,22
1458,5680,5
1459,5683,4
1460,5707,7
1461,5711,7
1462,5718,25
1463,5722,0
1464,5726,5
1465,5729,9
1466,5735,7
1467,5736,10
1468,5738,0
1469,5740,12
1470,5741,0
1471,5744,0
1472,5745,9
1473,5750,0
1474,5752,22
1475,5753,26
1476,5754,0
1477,5755,8
1478,5763,8
1479,5780,0
1480,5783,15
1481,5788,32
1482,5790,10
1483,5798,23
1484,5802,0
1485,5807,0
1486,5808,9
1487,5809,33
1488,5812,9
1489,5815,11
1490,5816,0
1491,5818,14
1492,5822,13
1493,5828,0
1494,5832,33
1495,5833,7
1496,5836,25
1497,5845,4
1498,5850,0
1499,5851,0
1500,5852,16
1501,5861,22
1502,5865,17
1503,5873,5
1504,5874,19
1505,5877,7
1506,5882,7
1507,5887,24
1508,5890,6
1509,5892,8
1510,5894,16
1511,5899,31
1512,5902,0
1513,5903,31
1514,5915,24
1515,5919,0
1516,5924,3
1517,5937,32
1518,5938,13
1519,5947,11
1520,5948,0
1521,5950,0
1522,5952,6
1523,5958,25
1524,5964,16
1525,5967,29
1526,5970,16
1527,5975,4
1528,5977,10
1529,5980,0
1530,5982,0
1531,5988,2
1532,5989,27
1533,5996,0
1534,5999,28
1535,6006,10
1536,6019,0
1537,6028,1
1538,6029,17
1539,6042,23
1540,6046,0
1541,6051,6
1542,6056,24
1543,6057,26
1544,6058,0
1545,6066,8
1546,6069,0
1547,6082,0
1548,6084,0
1549,6090,31
1550,6091,0
1551,6092,15
1552,6094,27
1553,6096,14
1554,6097,27
1555,6100,0
1556,6103,0
1557,6104,0
1558,6105,24
1559,6108,0
1560,6109,0
1561,6113,32
1562,6114,14
1563,6116,0
1564,6118,30
1565,6120,0
1566,6124,0
1567,6127,8
1568,6129,26
1569,6130,27
1570,6134,5
1571,6136,14
1572,6151,15
1573,6155,0
1574,6159,8
1575,6163,0
1576,6167,12
1577,6174,25
1578,6175,0
1579,6178,23
1580,6179,22
1581,6182,0
1582,6183,15
1583,6189,34
1584,6194,0
1585,6206,0
1586,6208,9
1587,6209,15
1588,6217,31
1589,6218,9
1590,6221,30
1591,6227,24
1592,6228,28
1593,6231,0
1594,6236,5
1595,6239,25
1596,6240,0
1597,6253,11
1598,6257,8
1599,6261,0
1600,6263,0
1601,6264,0
1602,6268,14
1603,6271,23
1604,6273,9
1605,6274,4
1606,6280,0
1607,6293,22
1608,6297,16
1609,6299,35
1610,6302,22
1611,6303,19
1612,6316,21
1613,6317,8
1614,6318,5
1615,6336,35
1616,6339,5
1617,6340,0
1618,6341,0
1619,6342,20
1620,6343,0
1621,6349,0
1622,6352,33
1623,6355,8
1624,6360,0
1625,6367,33
1626,6369,0
1627,6371,20
1628,6373,35
1629,6381,0
1630,6382,16
1631,6384,34
1632,6387,31
1633,6390,0
1634,6393,13
1635,6399,34
1636,6401,4
1637,6402,29
1638,6406,8
1639,6409,0
1640,6418,28
1641,6425,0
1642,6430,15
1643,6432,4
1644,6434,0
1645,6435,15
1646,6437,11
1647,6440,0
1648,6441,0
1649,6444,16
1650,6446,0
1651,6447,29
1652,6448,11
1653,6454,11
1654,6458,0
1655,6464,0
1656,6465,11
1657,6468,28
1658,6469,10
1659,6472,26
1660,6475,2
1661,6476,0
1662,6482,35
1663,6483,5
1664,6485,0
1665,6487,33
1666,6489,18
1667,6499,3
1668,6500,29
1669,6503,0
1670,6505,9
1671,6507,0
1672,6515,17
1673,6516,0
1674,6518,32
1675,6519,26
1676,6520,24
1677,6521,23
1678,6522,14
1679,6526,0
1680,6527,34
1681,6532,4
1682,6533,4
1683,6535,0
1684,6536,25
1685,6538,7
1686,6540,11
1687,6541,23
1688,6544,19
1689,6546,8
1690,6550,22
1691,6552,17
1692,6554,5
1693,6556,0
1694,6559,22
1695,6560,34
1696,6562,16
1697,6566,13
1698,6568,28
1699,6576,32
1700,6584,23
1701,6586,0
1702,6587,5
1703,6603,12
1704,6604,13
1705,6605,17
1706,6611,32
1707,6615,11
1708,6617,6
1709,6618,0
1710,6623,9
1711,6624,26
1712,6629,14
1713,6632,19
1714,6633,0
1715,6634,23
1716,6640,0
1717,6643,22
1718,6650,21
1719,6657,0
1720,6666,0
1721,6667,0
1722,6669,27
1723,6672,3
1724,6675,0
1725,6676,0
1726,6678,7
1727,6685,32
1728,6686,24
1729,6687,9
1730,6688,13
1731,6693,17
1732,6694,6
1733,6702,34
1734,6704,21
1735,6705,22
1736,6710,16
1737,6712,0
1738,6715,0
1739,6716,9
1740,6722,33
1741,6723,11
1742,6731,8
1743,6738,17
1744,6739,24
1745,6745,0
1746,6747,34
1747,6748,29
1748,6755,6
1749,6762,32
1750,6763,0
1751,6765,12
1752,6775,11
1753,6778,16
1754,6779,35
1755,6787,6
1756,6789,29
1757,6802,20
1758,6807,20
1759,6814,18
1760,6817,0
1761,6821,6
1762,6822,0
1763,6825,17
1764,6831,15
1765,6835,7
1766,6836,0
1767,6841,14
1768,6842,14
1769,6847,6
1770,6848,29
1771,6853,20
1772,6856,27
1773,6857,5
1774,6858,19
1775,6860,30
1776,6861,3
1777,6862,0
1778,6865,27
1779,6866,0
1780,6868,30
1781,6872,11
1782,6874,20
1783,6880,27
1784,6881,9
1785,6883,32
1786,6886,0
1787,6890,34
1788,6891,18
1789,6892,12
1790,6898,14
1791,6905,0
1792,6906,0
1793,6911,13
1794,6913,22
1795,6924,0
1796,6929,23
1797,6930,11
1798,6933,0
1799,6934,0
1800,6938,0
1801,6940,0
1802,6947,31
1803,6948,11
1804,6950,11
1805,6963,0
1806,6965,5
1807,6974,6
1808,6976,26
1809,6978,18
1810,6980,0
1811,6999,35
1812,7000,0
1813,7007,9
1814,7012,0
1815,7016,0
1816,7021,0
1817,7022,3
1818,7031,0
1819,7033,22
1820,7040,12
1821,7043,22
1822,7052,24
1823,7054,0
1824,7060,28
1825,7062,12
1826,7068,0
1827,7070,6
1828,7071,18
1829,7072,10
1830,7074,0
1831,7076,7
1832,7077,7
1833,7078,26
1834,7086,0
1835,7088,31
1836,7092,17
1837,7093,33
1838,7099,0
1839,7100,17
1840,7111,3
1841,7112,14
1842,7114,0
1843,7115,0
1844,7119,0
1845,7123,0
1846,7128,9
1847,7131,0
1848,7137,19
1849,7138,0
1850,7148,4
1851,7157,0
1852,7165,8
1853,7176,23
1854,7185,31
1855,7189,32
1856,7194,13
1857,7195,4
1858,7200,11
1859,7210,31
1860,7218,9
1861,7220,9
1862,7221,15
1863,7223,0
1864,7229,0
1865,7231,26
1866,7233,0
1867,7234,14
1868,7247,27
1869,7250,22
1870,7251,7
1871,7256,26
1872,7261,16
1873,7265,12
1874,7273,0
1875,7283,33
1876,7293,20
1877,7294,0
1878,7295,28
1879,7302,13
1880,7303,0
1881,7304,0
1882,7317,0
1883,7328,0
1884,7351,26
1885,7360,22
1886,7362,0
1887,7363,9
1888,7365,0
1889,7367,9
1890,7379,29
1891,7399,19
1892,7403,20
1893,7404,6
1894,7407,12
1895,7408,0
